r (m)	Te (eV)	Ti (eV)	ne (m^-3)	ni (m^-3)	nCI (m^-3)	nCII (m^-3)	nCIII (m^-3)	nCIV (m^-3)	nCV (m^-3)	nCVI (m^-3)	nCVII (m^-3)	n0 (m^-3)	pi (kPa)	p (kPa)
0.001	660.19	247.71	1.998670000E+19	1.597334877E+19	0.000000000E+00	1.337958966E+11	1.431833311E+12	2.475299652E+13	3.930176261E+15	3.463489689E+16	1.620934067E+17	1.300000000E+15	633.9335167633	4.434140000E+00
0.002	660.18	247.73	1.998740000E+19	1.597307665E+19	4.518500000E-05	1.340704285E+11	1.433337188E+12	2.481441340E+13	3.930410634E+15	3.460940755E+16	1.620632489E+17	1.301640000E+15	633.9710481077	4.434040000E+00
0.003	660.17	247.74	1.998800000E+19	1.597276863E+19	9.050700000E-05	1.343458081E+11	1.434845999E+12	2.487613785E+13	3.930651398E+15	3.458502984E+16	1.620328395E+17	1.303290000E+15	634.0052512576	4.433890000E+00
0.004	660.16	247.76	1.998850000E+19	1.597242456E+19	1.359670000E-04	1.346220390E+11	1.436359766E+12	2.493817177E+13	3.930898715E+15	3.456173088E+16	1.620021766E+17	1.304950000E+15	634.0361200700	4.433670000E+00
0.005	660.14	247.78	1.998880000E+19	1.597204426E+19	1.815660000E-04	1.348991246E+11	1.437878511E+12	2.500051704E+13	3.931152745E+15	3.453947848E+16	1.619712582E+17	1.306630000E+15	634.0636472404	4.433390000E+00
0.006	660.12	247.79	1.998910000E+19	1.597162758E+19	2.273040000E-04	1.351770685E+11	1.439402256E+12	2.506317556E+13	3.931413657E+15	3.451824108E+16	1.619400824E+17	1.308320000E+15	634.0878266852	4.433050000E+00
0.007	660.11	247.81	1.998920000E+19	1.597117437E+19	2.731810000E-04	1.354558743E+11	1.440931023E+12	2.512614926E+13	3.931681619E+15	3.449798781E+16	1.619086470E+17	1.310030000E+15	634.1086523509	4.432640000E+00
0.008	660.08	247.82	1.998930000E+19	1.597068449E+19	3.191990000E-04	1.357355454E+11	1.442464834E+12	2.518944005E+13	3.931956806E+15	3.447868841E+16	1.618769499E+17	1.311760000E+15	634.1261186111	4.432170000E+00
0.009	660.06	247.84	1.998930000E+19	1.597015779E+19	3.653570000E-04	1.360160856E+11	1.444003712E+12	2.525304990E+13	3.932239395E+15	3.446031327E+16	1.618449893E+17	1.313490000E+15	634.1402194731	4.431640000E+00
0.010	660.03	247.85	1.998910000E+19	1.596959415E+19	4.116560000E-04	1.362974984E+11	1.445547678E+12	2.531698075E+13	3.932529567E+15	3.444283342E+16	1.618127629E+17	1.315250000E+15	634.1509501663	4.431050000E+00
0.011	660.01	247.86	1.998890000E+19	1.596899344E+19	4.580980000E-04	1.365797875E+11	1.447096756E+12	2.538123458E+13	3.932827509E+15	3.442622049E+16	1.617802687E+17	1.317020000E+15	634.1583055537	4.430390000E+00
0.012	659.98	247.87	1.998850000E+19	1.596835554E+19	5.046810000E-04	1.368629565E+11	1.448650969E+12	2.544581339E+13	3.933133409E+15	3.441044673E+16	1.617475045E+17	1.318800000E+15	634.1622809267	4.429670000E+00
0.013	659.94	247.88	1.998810000E+19	1.596768032E+19	5.514080000E-04	1.371470090E+11	1.450210338E+12	2.551071916E+13	3.933447461E+15	3.439548499E+16	1.617144684E+17	1.320600000E+15	634.1628712109	4.428890000E+00
0.014	659.91	247.89	1.998750000E+19	1.596696769E+19	5.982790000E-04	1.374319488E+11	1.451774888E+12	2.557595392E+13	3.933769863E+15	3.438130872E+16	1.616811580E+17	1.322410000E+15	634.1600729521	4.428050000E+00
0.015	659.87	247.90	1.998690000E+19	1.596621753E+19	6.452930000E-04	1.377177796E+11	1.453344641E+12	2.564151970E+13	3.934100817E+15	3.436789195E+16	1.616475714E+17	1.324240000E+15	634.1538815362	4.427140000E+00
0.016	659.84	247.91	1.998620000E+19	1.596542974E+19	6.924530000E-04	1.380045051E+11	1.454919620E+12	2.570741854E+13	3.934440528E+15	3.435520930E+16	1.616137063E+17	1.326090000E+15	634.1442931754	4.426180000E+00
0.017	659.79	247.92	1.998540000E+19	1.596460423E+19	7.397580000E-04	1.382921290E+11	1.456499849E+12	2.577365251E+13	3.934789207E+15	3.434323594E+16	1.615795605E+17	1.327950000E+15	634.1313045109	4.425140000E+00
0.018	659.75	247.93	1.998450000E+19	1.596374090E+19	7.872090000E-04	1.385806551E+11	1.458085351E+12	2.584022367E+13	3.935147070E+15	3.433194763E+16	1.615451318E+17	1.329830000E+15	634.1149118190	4.424050000E+00
0.019	659.71	247.93	1.998350000E+19	1.596283967E+19	8.348060000E-04	1.388700873E+11	1.459676150E+12	2.590713414E+13	3.935514336E+15	3.432132067E+16	1.615104182E+17	1.331730000E+15	634.0951122026	4.422900000E+00
0.020	659.66	247.94	1.998240000E+19	1.596190046E+19	8.825510000E-04	1.391604292E+11	1.461272270E+12	2.597438600E+13	3.935891228E+15	3.431133190E+16	1.614754172E+17	1.333640000E+15	634.0719027971	4.421680000E+00
0.021	659.61	247.94	1.998120000E+19	1.596092318E+19	9.304430000E-04	1.394516848E+11	1.462873734E+12	2.604198137E+13	3.936277977E+15	3.430195872E+16	1.614401267E+17	1.335570000E+15	634.0452803730	4.420400000E+00
0.022	659.56	247.95	1.998000000E+19	1.595990777E+19	9.784840000E-04	1.397438578E+11	1.464480566E+12	2.610992241E+13	3.936674815E+15	3.429317905E+16	1.614045445E+17	1.337510000E+15	634.0152429253	4.419050000E+00
0.023	659.50	247.95	1.997860000E+19	1.595885415E+19	1.026674000E-03	1.400369522E+11	1.466092791E+12	2.617821126E+13	3.937081981E+15	3.428497134E+16	1.613686683E+17	1.339480000E+15	633.9817876870	4.417650000E+00
0.024	659.45	247.95	1.997720000E+19	1.595776225E+19	1.075014000E-03	1.403309718E+11	1.467710433E+12	2.624685008E+13	3.937499719E+15	3.427731456E+16	1.613324957E+17	1.341450000E+15	633.9449123213	4.416180000E+00
0.025	659.39	247.95	1.997570000E+19	1.595663202E+19	1.123504000E-03	1.406259206E+11	1.469333517E+12	2.631584107E+13	3.937928277E+15	3.427018818E+16	1.612960246E+17	1.343450000E+15	633.9046153187	4.414650000E+00
0.026	659.33	247.96	1.997410000E+19	1.595546340E+19	1.172145000E-03	1.409218024E+11	1.470962066E+12	2.638518642E+13	3.938367908E+15	3.426357217E+16	1.612592526E+17	1.345460000E+15	633.8608948054	4.413060000E+00
0.027	659.27	247.96	1.997240000E+19	1.595425633E+19	1.220937000E-03	1.412186213E+11	1.472596106E+12	2.645488835E+13	3.938818872E+15	3.425744702E+16	1.612221773E+17	1.347490000E+15	633.8137489407	4.411410000E+00
0.028	659.20	247.96	1.997060000E+19	1.595301076E+19	1.269882000E-03	1.415163811E+11	1.474235662E+12	2.652494909E+13	3.939281433E+15	3.425179369E+16	1.611847964E+17	1.349540000E+15	633.7631763141	4.409690000E+00
0.029	659.14	247.95	1.996880000E+19	1.595172665E+19	1.318979000E-03	1.418150859E+11	1.475880758E+12	2.659537090E+13	3.939755859E+15	3.424659363E+16	1.611471076E+17	1.351610000E+15	633.7091759457	4.407920000E+00
0.030	659.07	247.95	1.996690000E+19	1.595040395E+19	1.368230000E-03	1.421147397E+11	1.477531419E+12	2.666615603E+13	3.940242427E+15	3.424182875E+16	1.611091085E+17	1.353690000E+15	633.6517464911	4.406080000E+00
0.031	659.00	247.95	1.996490000E+19	1.594904261E+19	1.417635000E-03	1.424153465E+11	1.479187671E+12	2.673730677E+13	3.940741416E+15	3.423748144E+16	1.610707967E+17	1.355800000E+15	633.5908866397	4.404180000E+00
0.032	658.92	247.95	1.996280000E+19	1.594764261E+19	1.467194000E-03	1.427169104E+11	1.480849540E+12	2.680882543E+13	3.941253113E+15	3.423353454E+16	1.610321698E+17	1.357920000E+15	633.5265963056	4.402220000E+00
0.033	658.85	247.94	1.996060000E+19	1.594620390E+19	1.516909000E-03	1.430194355E+11	1.482517051E+12	2.688071431E+13	3.941777809E+15	3.422997137E+16	1.609932254E+17	1.360060000E+15	633.4588742444	4.400190000E+00
0.034	658.77	247.94	1.995840000E+19	1.594472646E+19	1.566780000E-03	1.433229258E+11	1.484190229E+12	2.695297575E+13	3.942315802E+15	3.422677566E+16	1.609539611E+17	1.362210000E+15	633.3877204369	4.398110000E+00
0.035	658.69	247.93	1.995610000E+19	1.594321026E+19	1.616808000E-03	1.436273855E+11	1.485869100E+12	2.702561210E+13	3.942867396E+15	3.422393160E+16	1.609143743E+17	1.364390000E+15	633.3131345001	4.395960000E+00
0.036	658.61	247.93	1.995370000E+19	1.594165526E+19	1.666993000E-03	1.439328187E+11	1.487553691E+12	2.709862573E+13	3.943432901E+15	3.422142382E+16	1.608744627E+17	1.366590000E+15	633.2351156868	4.393760000E+00
